# SBV2 teacher models synthesize these sentences to create distilled Irodori datasets.
# Keep lines natural and speaker-neutral. Labels before "|" are optional and ignored.
001|おはようございます。今日も一日、ゆっくり始めていきましょう。
002|準備ができたら、こちらに声をかけてください。
003|少しだけ待ってください。すぐに確認します。
004|ありがとうございます。とても助かりました。
005|それでは、次の項目に進みます。
006|この文章は、音声合成の確認用サンプルです。
007|今日は天気がよくて、外の空気が気持ちいいですね。
008|昨日よりも少しだけ早く終わりそうです。
009|もう一度、最初から読み上げます。
010|今のところ、大きな問題は見つかっていません。
011|えっと、ちょっとだけ考えさせてください。
012|なるほど、そういう意味だったんですね。
013|本当にそれで大丈夫ですか。
014|心配しなくても大丈夫ですよ。
015|無理をしないで、休めるときに休んでください。
016|すみません、聞き取れなかったので、もう一度お願いします。
017|ここから先は、少し丁寧に説明します。
018|この設定を変えると、読み上げの雰囲気も変わります。
019|少し近い距離感で、やわらかく話しています。
020|落ち着いた声で、はっきりと伝えます。
021|嬉しいです。本当にありがとうございます。
022|わあ、思っていたよりずっと良いですね。
023|それは少し困りましたね。
024|申し訳ありません。こちらで修正しておきます。
025|あの、今少しだけお時間ありますか。
026|急がなくても大丈夫です。ゆっくりで構いません。
027|確認できました。次の作業に入ります。
028|この音声は、品質確認のために生成されています。
029|一つずつ順番に進めれば、きっと大丈夫です。
030|今から短い案内文を読み上げます。
031|少しだけ声のトーンを明るくして話します。
032|静かな部屋で、落ち着いて話しているような雰囲気です。
033|ねえ、さっきの話、もう少し聞かせてくれる。
034|どうしたの。何か気になることがあるの。
035|大丈夫。私はここにいます。
036|そんなことを言われると、少し照れてしまいます。
037|ふふ、冗談ですよ。そんなに驚かないでください。
038|本当は、少しだけ寂しかったんです。
039|もう少しだけ、そばにいてもいいですか。
040|今日は会えてうれしかったです。
041|それでは、短いニュースをお伝えします。
042|現在の状況を、できるだけ簡潔にまとめます。
043|最初に概要を説明し、そのあと詳細を確認します。
044|この手順では、入力ファイルと出力先を指定します。
045|処理が完了すると、結果が画面に表示されます。
046|異常が発生した場合は、ログを確認してください。
047|バックアップがあるので、復旧は可能です。
048|接続が切れた場合は、自動的に再試行します。
049|このモデルは、ローカル環境で推論するために調整されています。
050|リクエストを受け取った順番に、音声を生成します。
051|少し速めに読み上げています。
052|今度は、ゆっくり落ち着いて読み上げています。
053|短い文です。
054|これは、少し長めの文章です。途中で息継ぎをするように、自然な区切りを意識して読み上げています。
055|質問があります。今の設定で続けてもよろしいですか。
056|はい、問題ありません。そのまま進めてください。
057|いいえ、まだ準備ができていません。
058|もう少し詳しく教えてください。
059|この声で、案内や会話のサンプルを作成します。
060|感情を少し抑えて、自然な会話に近づけます。
061|うれしい気持ちを込めて、明るく話します。
062|少し不安そうに、小さな声で話します。
063|驚いたように、短く反応します。
064|眠そうに、ゆっくりとした調子で話します。
065|元気よく、はきはきと読み上げます。
066|やさしく、安心させるように話します。
067|少し怒ったように、でも強すぎない調子で話します。
068|泣きそうな声で、短い一言を読み上げます。
069|秘密を打ち明けるように、小さめの声で話します。
070|電話越しの案内のように、はっきりと話します。
071|こんにちは。ご利用ありがとうございます。
072|ただいま処理中です。しばらくお待ちください。
073|完了しました。結果をご確認ください。
074|エラーが発生しました。入力内容を確認してください。
075|保存が完了しました。
076|読み込みに成功しました。
077|もう一度試してみます。
078|設定を更新しました。
079|音声ファイルを生成しました。
080|モデルを切り替えました。
081|この文では、句読点の間を自然に区切ります。
082|一、二、三、四、五。数字の読み上げを確認します。
083|午前九時三十分に開始します。
084|二〇二六年四月十八日の予定です。
085|温度は二十三度、湿度は五十パーセントです。
086|英単語のテストとして、APIとGPUを読み上げます。
087|URLや記号は、必要に応じて読み方を確認してください。
088|短い会話の一文として、自然な抑揚を確認します。
089|ねえ、聞いて。今日は少しだけ良いことがありました。
090|それは本当にすごいですね。おめでとうございます。
091|ちょっと待って。今のところをもう一度確認します。
092|よし、これで準備は整いました。
093|少し声を落として、静かに話します。
094|はっきりした発音で、聞き取りやすく話します。
095|やや高めのテンションで、楽しく話します。
096|落ち込んでいる相手に、やさしく寄り添います。
097|不思議そうに、ゆっくり問いかけます。
098|安心したように、ほっと息をついて話します。
099|少し照れながら、短く返事をします。
100|最後に、もう一度だけ確認します。
101|サンプルの生成が終わったら、音質と話し方を確認してください。
102|同じ文章でも、参照音声やモデルによって印象が変わります。
103|長すぎる文章は分割したほうが安定します。
104|必要であれば、あとから文章を追加して再生成できます。
105|このデータは、別モデルへの蒸留学習に使います。
106|声の特徴を保ちながら、Irodoriの推論形式へ変換します。
107|本番環境では、読み込み済みモデルをキャッシュして使います。
108|モデル切り替え時は、必要に応じて待ち時間が発生します。
109|高い応答速度が必要な場合は、モデルごとにPodを分けます。
110|障害時には、別のPodへ切り替えられるようにします。
111|音声生成の前に、短すぎる入力や空の入力を検査します。
112|生成結果は、必要に応じてWAVまたはMP3で返します。
113|ここまでの内容を、落ち着いた声で読み上げました。
114|それでは、次のサンプルに進みます。
115|お疲れさまでした。今日はここまでにしましょう。
116|また必要になったら、いつでも声をかけてください。
117|この一文は、息の抜け方を確認するための短い文章です。
118|ゆっくり、やさしく、自然に読み上げます。
119|近い距離で話しているように、少し柔らかく発声します。
120|以上で、蒸留用テキストの基本セットは終了です。
121|少し緊張しながらも、落ち着いて自己紹介します。
122|やわらかい声で、朝のあいさつをもう一度伝えます。
123|驚きを隠せないように、短く声を上げます。
124|うれしそうに笑いながら、ありがとうと伝えます。
125|静かな夜に話すように、声量を抑えて読み上げます。
126|少し眠たそうに、ゆっくり返事をします。
127|相手を励ますように、前向きな調子で話します。
128|困ったように、少し迷いながら説明します。
129|秘密の話をするように、近い距離でささやきます。
130|遠くにいる相手へ呼びかけるように、はっきり話します。
131|短い確認として、はい、承知しました、と返します。
132|やさしく注意するように、落ち着いて伝えます。
133|少し恥ずかしそうに、でもうれしそうに話します。
134|感謝の気持ちを込めて、丁寧に読み上げます。
135|聞き取りやすさを優先して、一音ずつ明瞭に話します。
136|自然な会話の流れで、短い相づちを入れます。
137|少し不満そうに、でも強すぎない声で話します。
138|安心した気持ちで、ゆっくり息をついてから話します。
139|予定を案内するように、日付と時刻を読み上げます。
140|作業完了の通知として、結果を簡潔に伝えます。
141|読み上げ速度を少し上げて、軽快に話します。
142|落ち着いたナレーションのように、一定の調子で話します。
143|会話の途中で考え込むように、少し間を置いて話します。
144|楽しい知らせを伝えるように、明るく読み上げます。
145|心配している相手に、だいじょうぶだよと伝えます。
146|小さなお願いをするように、控えめな声で話します。
147|もう一度確認します。入力内容に間違いはありませんか。
148|この音声は、モデルごとの声質確認に使用します。
149|同じ文章を使うことで、声の違いを比較できます。
150|必要に応じて、あとから追加学習を行います。
151|このサンプルでは、長めの息継ぎと自然な抑揚を確認します。
152|短い返答、長い説明、案内文を組み合わせて評価します。
153|少し距離の近い話し方で、やわらかく呼びかけます。
154|丁寧な接客のように、明るく落ち着いて話します。
155|集中している場面のように、低めの声で読み上げます。
156|楽しそうな会話の一部として、自然に笑いを含めます。
157|寂しそうな気持ちを少しだけ含めて話します。
158|驚いたあとに落ち着くような抑揚で読み上げます。
159|最後の確認です。生成された音声を保存しました。
160|これで蒸留用テキストの拡張セットは終了です。
